indice_tiempo,nivel_general,alimentos_bebidas,indumentaria,vivienda_servicios_basicos,equipamiento_mantenimiento_hogar,atencion_medica_gastos_salud,transporte_comunicaciones,esparcimiento,educacion,otros_bienes_servicios_varios
2005-10-01,116.16,120.91,115.43,111.08,128.17,108.2,108.97,110.53,122.76,126.0
2005-11-01,117.45,123.63,116.2,112.69,128.85,109.03,109.31,109.25,123.61,128.23
2005-12-01,117.92,124.34,116.15,113.72,128.53,110.46,109.64,108.85,123.54,129.21
2006-01-01,119.32,125.33,115.95,113.25,129.19,111.82,111.91,115.51,123.38,128.32
2006-02-01,119.55,125.59,114.75,114.73,129.57,112.27,112.35,114.71,123.03,129.41
2006-03-01,120.53,127.73,115.76,115.25,131.1,111.82,112.82,112.31,127.43,131.1
2006-04-01,121.21,127.92,119.04,115.51,131.04,112.01,114.31,111.85,126.91,132.42
2006-05-01,121.62,126.93,120.92,117.13,131.41,113.07,115.01,113.07,130.46,132.68
2006-06-01,122.25,126.91,122.37,117.58,133.7,113.86,116.16,112.52,132.6,133.2
2006-07-01,122.62,125.69,121.96,118.97,135.34,113.96,116.62,117.54,132.96,133.34
2006-08-01,122.86,126.43,122.87,119.14,135.75,114.28,115.66,118.03,133.85,133.06
2006-09-01,123.38,126.81,125.65,119.23,136.15,114.53,116.04,116.9,137.17,134.47
2006-10-01,123.99,128.04,125.97,119.63,137.62,114.65,116.22,116.6,137.68,134.6
2006-11-01,125.28,130.73,128.36,122.28,137.51,114.54,115.75,116.94,137.63,135.25
2006-12-01,127.32,135.26,128.83,123.83,138.45,114.55,115.97,119.53,138.95,135.4
2007-01-01,128.74,137.37,126.09,124.66,138.79,115.66,117.92,123.02,138.92,137.33
2007-02-01,129.59,139.46,126.22,124.79,139.75,116.26,117.86,123.85,138.55,136.87
2007-03-01,130.94,140.92,131.33,125.51,139.96,117.07,120.26,119.75,143.54,138.27
2007-04-01,133.91,147.48,133.57,127.66,141.76,118.83,120.51,120.75,143.99,139.02
2007-05-01,136.7,151.47,136.32,130.02,144.42,119.5,122.52,120.3,158.7,141.6
2007-06-01,140.33,159.46,137.21,131.57,146.2,120.7,124.48,120.75,161.77,143.33
2007-07-01,143.91,166.38,138.53,132.9,146.83,122.17,127.04,123.71,163.99,145.61
2007-08-01,148.69,174.02,140.94,134.31,155.22,124.35,130.49,127.92,166.88,146.8
2007-09-01,151.67,179.16,146.39,134.71,157.92,124.81,132.39,128.91,167.69,148.54
2007-10-01,153.84,182.75,148.88,136.87,159.02,125.21,134.33,129.42,167.74,149.22
2007-11-01,153.22,176.79,152.62,138.71,159.68,125.84,136.97,130.53,171.44,150.42
2007-12-01,154.72,177.42,155.1,140.88,161.66,129.01,138.34,131.1,171.6,154.85
2008-01-01,157.85,182.92,153.75,142.82,163.17,129.88,139.92,139.14,171.54,156.5
2008-02-01,161.38,191.94,157.46,145.4,165.58,130.56,138.69,138.58,172.01,158.13
2008-03-01,167.94,206.34,165.18,146.23,169.35,132.39,139.98,138.42,190.44,159.83
2008-04-01,172.96,214.22,170.9,148.78,172.57,133.76,145.0,139.53,198.1,162.19
2008-05-01,173.39,209.95,175.38,151.41,174.06,135.82,148.21,141.37,199.52,165.02
2008-06-01,177.59,213.84,178.99,159.79,175.37,138.11,151.57,150.71,200.17,166.87
2008-07-01,180.08,216.14,178.71,162.1,180.21,140.16,153.81,155.66,201.54,170.26
2008-08-01,181.55,216.37,180.55,166.48,181.57,140.53,155.34,158.14,204.46,173.04
2008-09-01,183.51,216.23,190.7,167.33,186.13,143.69,155.83,161.0,211.01000000000002,172.89
2008-10-01,184.58,217.39,192.27,160.84,187.88,144.97,157.22,164.37,217.7698332192116,177.15
2008-11-01,185.76,218.18,194.86,164.16,188.97,145.48,157.59,164.56,224.11,180.62
