Fecha,Tasa
2018-01-11,4030
2018-01-12,19309
2018-01-15,34687
2018-01-16,38605
2018-01-17,47605
2018-01-18,85365
2018-01-19,87305
2018-01-22,88538
2018-01-23,103996
2018-01-24,99346
2018-01-25,66865
2018-01-26,63191
2018-01-29,66088
2018-01-30,58647
2018-01-31,69259
2018-02-01,64112
2018-02-02,55079
2018-02-05,42463
2018-02-06,45711
2018-02-07,38816
2018-02-08,45094
2018-02-09,42182
2018-02-14,74344
2018-02-15,80285
2018-02-16,103812
2018-02-19,111747
2018-02-20,124857
2018-02-21,116622
2018-02-22,138393
2018-02-23,158469
2018-02-26,165169
2018-02-27,173969
2018-02-28,154565
2018-03-01,130207
2018-03-02,106434
2018-03-05,122849
2018-03-06,133874
2018-03-07,117150
2018-03-08,113806
2018-03-09,104307
2018-03-12,81258
2018-03-13,54933
2018-03-14,65019
2018-03-15,111322
2018-03-16,134270
2018-03-19,138796
2018-03-20,151811
2018-03-21,188987
2018-03-22,170350
2018-03-23,158998
2018-03-26,159990
2018-03-27,158129
2018-03-28,142524
2018-04-03,73291
2018-04-04,65858
2018-04-05,90349
2018-04-06,106469
2018-04-09,121214
2018-04-10,122928
2018-04-11,109502
2018-04-12,104208
2018-04-13,114084
2018-04-16,136607
2018-04-17,126830
2018-04-18,126863
2018-04-19,151397
2018-04-20,166430
2018-04-23,163463
2018-04-24,174008
2018-04-25,158509
2018-04-26,129589
2018-04-27,116319
2018-05-02,54447
2018-05-03,50653
2018-05-04,47238
2018-05-07,52269
2018-05-08,59316
2018-05-09,55540
2018-05-10,44524
2018-05-11,20178
2018-05-14,15147
2018-05-15,8100
2018-05-16,260
2018-05-17,1710
2018-05-18,16016
2018-05-21,30144
2018-05-22,47301
2018-05-23,61389
2018-05-24,66988
2018-05-28,50649
2018-05-29,33492
2018-05-30,19354
2018-05-31,12310
2018-06-01,12310
2018-06-04,220
2018-06-05,220
2018-06-06,20
2018-06-07,20
2018-06-08,20
2018-06-11,19
2018-06-12,19
2018-06-13,19
2018-06-14,19
2018-06-15,29
2018-06-18,25
2018-06-19,1325
2018-06-21,5060
2018-06-22,20927
2018-06-25,24094
2018-06-26,26615
2018-06-27,27615
2018-06-28,27765
2018-06-29,11898
2018-07-02,8731
2018-07-03,4910
2018-07-04,3910
2018-07-05,10
2018-07-06,30222
2018-07-10,40292
2018-07-11,55398
2018-07-12,70504
2018-07-13,55388
2018-07-16,70494
2018-07-17,70494
2018-07-18,70994
2018-07-19,119598
2018-07-20,129408
2018-07-23,129418
2018-07-24,153860
2018-07-25,170971
2018-07-26,139223
2018-07-27,152319
2018-07-30,162780
2018-07-31,150241
2018-08-01,132630
2018-08-02,115774
2018-08-03,92868
2018-08-06,82397
2018-08-07,78551
2018-08-08,80575
2018-08-09,82599
2018-08-10,84623
2018-08-13,86684
2018-08-14,97032
2018-08-15,199413
2018-08-16,243191
2018-08-17,301283
2018-08-21,302465
2018-08-22,288055
2018-08-23,291604
2018-08-24,309615
2018-08-27,341771
2018-08-28,331976
2018-08-29,289434
2018-08-30,296243
2018-08-31,304049
2018-09-03,294968
2018-09-04,281658
2018-09-05,257633
2018-09-06,241943
2018-09-07,211284
2018-09-10,223650
2018-09-11,231744
2018-09-12,242278
2018-09-13,243727
2018-09-14,219120
2018-09-17,257901
2018-09-18,263751
2018-09-19,338193
2018-09-20,394290
2018-09-21,464465
2018-09-24,459852
2018-09-25,433143
2018-09-26,432973
2018-09-27,425879
2018-09-28,432851
2018-10-01,434303
2018-10-02,476163
2018-10-03,462343
2018-10-04,454023
2018-10-05,435935
2018-10-08,447870
2018-10-09,455163
2018-10-10,453418
2018-10-11,454552
2018-10-12,453024
2018-10-16,442040
2018-10-17,519319
2018-10-18,572849
2018-10-19,605190
2018-10-22,617600
2018-10-23,596410
2018-10-24,570493
2018-10-25,574006
2018-10-26,563404
2018-10-29,590364
2018-10-30,588876
2018-10-31,584232
2018-11-01,602090
2018-11-02,616428
2018-11-05,673128
2018-11-07,576352
2018-11-08,579218
2018-11-09,579112
2018-11-12,595023
2018-11-13,668443
2018-11-14,676030
2018-11-15,682964
2018-11-16,675955
2018-11-20,657299
2018-11-21,681813
2018-11-22,652810
2018-11-23,604111
2018-11-26,606424
2018-11-27,653174
2018-11-28,675291
2018-11-29,718711
2018-12-03,744098
2018-12-04,773152
2018-12-05,810117
2018-12-06,798717
2018-12-07,769309
2018-12-10,730741
2018-12-11,708280
2018-12-12,687536
2018-12-13,659633
2018-12-14,625011
2018-12-17,623863
2018-12-18,645344
2018-12-19,696449
2018-12-20,707188
2018-12-21,700325
2018-12-26,699566
2018-12-27,712919
2018-12-28,722449
2019-01-02,761398
2019-01-03,794500
2019-01-04,804507
2019-01-07,821745
2019-01-08,815999
2019-01-09,840866
2019-01-10,840827
2019-01-11,851417
2019-01-14,830270
2019-01-15,830716
2019-01-16,839510
2019-01-17,836004
2019-01-18,857975
2019-01-21,856186
2019-01-22,842840
2019-01-23,834470
2019-01-24,828443
2019-01-25,815096
2019-01-28,784789
2019-01-29,736505
2019-01-30,740778
2019-01-31,743977
2019-02-01,765000
2019-02-04,805000
2019-02-05,840000
2019-02-06,855000
2019-02-07,890000
2019-02-08,905000
2019-02-11,915000
2019-02-12,920000
2019-02-13,945000
2019-02-14,945000
2019-02-15,945000
2019-02-18,945000
2019-02-19,935000
2019-02-20,947661
2019-02-21,951536
2019-02-22,933230
2019-02-25,903230
2019-02-26,883230
2019-02-27,855569
2019-02-28,825038
2019-03-01,858344
2019-03-06,898871
2019-03-07,962045
2019-03-08,983237
2019-03-11,1015620
2019-03-12,1015620
2019-03-13,1016132
2019-03-14,995178
2019-03-15,993849
