a¤o;fecha;posicion;tipo;tipo operaci¢n;ejercicio;Primero;Minimo;Maximo;Ultimo;Volumen;"Volumen
IRC";Sub-Tot Vol;Ajuste / VT;OI;Cod. Prod;Cod. Pto;Mes Entrega (numeros);Mes Entrega (letras);"Abreviado
Prod";"Abreviado
Pto";moneda;unidad;"mercado
referencia"
2017;01/02/2017;DOLAR/FEB17;Futuro;Futuro;0;16.02;15.95;16.02;15.95;100000;0;100000;15.95;6;90;90;201702;feb-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/02/2017;DOLAR/MAR17;Futuro;Futuro;0;16.28;16.2;16.28;16.2;30000;0;30000;16.2;12;90;90;201703;mar-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/02/2017;DOLAR/ABR17;Futuro;Futuro;0;16.505;16.505;16.505;16.505;30000;0;30000;16.505;0;90;90;201704;abr-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/03/2017;DOLAR/MAR17;Futuro;Futuro;0;0;0;0;0;0;0;0;15.63;19;90;90;201703;mar-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/03/2017;DOLAR/ABR17;Futuro;Futuro;0;0;0;0;0;0;0;0;15.855;0;90;90;201704;abr-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/03/2017;DOLAR/MAY17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.135;0;90;90;201705;may-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/03/2017;DOLAR/AGO17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.85;30;90;90;201708;ago-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/06/2017;DOLAR/JUN17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.28;0;90;90;201706;jun-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/06/2017;DOLAR/JUL17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.545;0;90;90;201707;jul-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/06/2017;DOLAR/AGO17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.82;0;90;90;201708;ago-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/06/2017;DOLAR/NOV17;Futuro;Futuro;0;0;0;0;0;0;0;0;17.58;35;90;90;201711;nov-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/08/2017;DOLAR/AGO17;Futuro;Futuro;0;0;0;0;0;0;0;0;17.885;0;90;90;201708;ago-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/08/2017;DOLAR/NOV17;Futuro;Futuro;0;0;0;0;0;0;0;0;18.845;0;90;90;201711;nov-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/09/2017;DOLAR/NOV17;Futuro;Futuro;0;0;0;0;0;0;0;0;18.15;0;90;90;201711;nov-17;DOLAR;s/e;Pesos;U$S;FI
2017;01/11/2017;DOLAR/NOV17;Futuro;Futuro;0;0;0;0;0;0;0;0;17.96;0;90;90;201711;nov-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/01/2017;DOLAR/ENE17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.285;8;90;90;201701;ene-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/01/2017;DOLAR/FEB17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.545;1;90;90;201702;feb-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/01/2017;DOLAR/MAR17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.945;9;90;90;201703;mar-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/01/2017;DOLAR/ABR17;Futuro;Futuro;0;0;0;0;0;0;0;0;17.265;0;90;90;201704;abr-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/02/2017;DOLAR/FEB17;Futuro;Futuro;0;15.9;15.89;15.9;15.89;60000;0;60000;15.855;6;90;90;201702;feb-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/02/2017;DOLAR/MAR17;Futuro;Futuro;0;16.12;16.05;16.12;16.05;50000;0;50000;16.05;17;90;90;201703;mar-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/02/2017;DOLAR/ABR17;Futuro;Futuro;0;16.41;16.41;16.41;16.41;20000;0;20000;16.41;0;90;90;201704;abr-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/03/2017;DOLAR/MAR17;Futuro;Futuro;0;0;0;0;0;0;0;0;15.64;19;90;90;201703;mar-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/03/2017;DOLAR/ABR17;Futuro;Futuro;0;0;0;0;0;0;0;0;15.865;0;90;90;201704;abr-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/03/2017;DOLAR/MAY17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.135;0;90;90;201705;may-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/03/2017;DOLAR/AGO17;Futuro;Futuro;0;0;0;0;0;0;0;0;16.85;30;90;90;201708;ago-17;DOLAR;s/e;Pesos;U$S;FI
2017;02/05/2017;DOLAR/MAY17;Futuro;Futuro;0;0;0;0;0;0;0;0;15.48;0;90;90;201705;may-17;DOLAR;s/e;Pesos;U$S;FI
