FECHA;PRODUCTO;TIPO CONTRATO;TIPO OPCION;EJERCICIO;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;CONTRATOS;AJUSTE / PRIMA REF.;T. IMPLICITA;VAR %;IA;VAR. IA;TRADES
02-01-2020;DLR;DLR012020;;;62,200000;62,000000;61,500000;62,000000;61,640000;16548;61,640000;37,6040;-0,900322;371644,000000;5312,000000;86
02-01-2020;DLR;DLR022020;;;64,400000;63,900000;63,500000;64,200000;63,580000;12919;63,650000;40,6367;-1,164596;138961,000000;30,000000;67
02-01-2020;DLR;DLR032020;;;66,800000;66,000000;65,750000;66,140000;65,750000;4748;65,750000;39,9662;-1,571856;89594,000000;-2,000000;8
02-01-2020;DLR;DLR052020;;;71,350000;70,000000;70,000000;70,500000;70,495000;103;70,495000;43,8557;-1,198318;91105,000000;3,000000;7
02-01-2020;DLR;DLR062020;;;73,100000;71,000000;71,000000;72,000000;72,000000;16;72,245000;41,9881;-1,169631;8693,000000;-8,000000;4
02-01-2020;DLR;DLR072020;;;75,100000;75,000000;75,000000;75,100000;75,100000;10;74,245000;41,5997;-1,138482;4868,000000;-10,000000;2
02-01-2020;DLR;DLR082020;;;77,550000;77,750000;77,750000;77,750000;77,750000;3;76,695000;42,4448;-1,102515;1581,000000;-3,000000;1
03-01-2020;DLR;DLR012020;;;61,640000;61,500000;61,350000;61,650000;61,380000;23419;61,450000;35,2181;-0,308241;365852,000000;-5792,000000;84
03-01-2020;DLR;DLR022020;;;63,650000;63,100000;62,850000;63,900000;63,300000;12024;63,300000;37,7617;-0,549882;142063,000000;3102,000000;48
03-01-2020;DLR;DLR032020;;;65,750000;66,000000;65,400000;66,100000;65,550000;29040;65,550000;39,1822;-0,304183;101055,000000;11461,000000;40
03-01-2020;DLR;DLR042020;;;68,150000;68,000000;67,500000;68,050000;67,500000;11003;67,550000;39,8921;-0,880411;62633,000000;1001,000000;10
03-01-2020;DLR;DLR052020;;;70,495000;69,500000;69,500000;70,000000;70,000000;50;70,000000;42,1893;-0,702177;91102,000000;-3,000000;8
03-01-2020;DLR;DLR062020;;;72,245000;71,750000;71,600000;71,750000;71,750000;85;71,750000;40,6110;-0,685169;8694,000000;1,000000;4
03-01-2020;DLR;DLR072020;;;74,245000;74,000000;74,000000;74,000000;74,000000;1000;74,000000;41,1521;-0,329989;5639,000000;771,000000;1
03-01-2020;DLR;DLR082020;;;76,695000;76,690000;76,000000;76,690000;76,350000;2502;76,300000;41,6805;-0,515027;4083,000000;2502,000000;8
06-01-2020;DLR;DLR012020;;;61,450000;61,400000;61,220000;61,400000;61,270000;66136;61,270000;35,4145;-0,292921;353793,000000;-12059,000000;106
06-01-2020;DLR;DLR022020;;;63,300000;63,000000;63,000000;63,350000;63,300000;31884;63,300000;40,0758;0,000000;164974,000000;22911,000000;42
06-01-2020;DLR;DLR032020;;;65,550000;65,350000;65,300000;65,500000;65,400000;40912;65,400000;39,5975;-0,228833;92133,000000;-8922,000000;64
06-01-2020;DLR;DLR042020;;;67,550000;67,750000;67,350000;67,850000;67,500000;13458;67,500000;40,7543;-0,074019;62420,000000;-213,000000;34
06-01-2020;DLR;DLR052020;;;70,000000;70,000000;69,400000;70,060000;69,500000;5608;69,500000;41,0215;-0,714286;92407,000000;1305,000000;22
06-01-2020;DLR;DLR062020;;;71,750000;71,250000;71,250000;71,400000;71,400000;103;71,400000;40,1501;-0,487805;8794,000000;100,000000;4
06-01-2020;DLR;DLR072020;;;74,000000;73,550000;73,500000;73,550000;73,500000;53;73,500000;40,3275;-0,675676;5686,000000;47,000000;2
07-01-2020;DLR;DLR012020;;;61,270000;61,140000;61,140000;61,250000;61,151000;30558;61,170000;34,3347;-0,163212;367728,000000;13935,000000;84
07-01-2020;DLR;DLR022020;;;63,300000;63,250000;63,051000;63,250000;63,051000;17013;63,180000;39,4322;-0,189573;177427,000000;12453,000000;52
07-01-2020;DLR;DLR032020;;;65,400000;65,040000;65,040000;65,380000;65,300000;13497;65,260000;39,0544;-0,214067;97454,000000;5321,000000;41
07-01-2020;DLR;DLR042020;;;67,500000;67,100000;67,100000;67,380000;67,290000;17663;67,290000;39,9848;-0,311111;72022,000000;9602,000000;29
07-01-2020;DLR;DLR052020;;;69,500000;69,250000;69,250000;69,380000;69,250000;3009;69,390000;40,8365;-0,158273;95336,000000;2929,000000;4
07-01-2020;DLR;DLR062020;;;71,400000;71,300000;71,200000;71,300000;71,250000;277;71,250000;39,8545;-0,210084;8972,000000;178,000000;5
07-01-2020;DLR;DLR082020;;;75,700000;75,500000;75,380000;75,500000;75,380000;6;75,450000;40,2415;-0,330251;4083,000000;0,000000;3
07-01-2020;DLR;DLR092020;;;78,000000;77,300000;77,200000;77,300000;77,200000;10;77,550000;40,5191;-0,576923;1597,000000;2,000000;5
08-01-2020;DLR;DLR012020;;;61,170000;61,180000;61,001000;61,180000;61,090000;40527;61,090000;33,7540;-0,130783;366887,000000;-841,000000;98
08-01-2020;DLR;DLR022020;;;63,180000;63,050000;62,924000;63,050000;62,924000;23277;62,950000;37,4763;-0,364039;175328,000000;-2099,000000;64
08-01-2020;DLR;DLR032020;;;65,260000;65,100000;64,900000;65,100000;64,950000;16113;64,950000;37,2817;-0,475023;100281,000000;2827,000000;30
08-01-2020;DLR;DLR042020;;;67,290000;66,650000;66,650000;67,300000;66,766000;24666;66,830000;37,8656;-0,683608;72657,000000;635,000000;13
08-01-2020;DLR;DLR052020;;;69,390000;69,000000;68,566000;69,480000;68,800000;28398;68,800000;38,5978;-0,850267;100339,000000;5003,000000;29
08-01-2020;DLR;DLR062020;;;71,250000;70,650000;70,500000;70,650000;70,500000;4500;70,650000;37,9870;-0,842105;10972,000000;2000,000000;2
