a¤o;fecha;posicion;tipo;tipo operaci¢n;ejercicio;Primero;Minimo;Maximo;Ultimo;Volumen;"Volumen
IRC";Sub-Tot Vol;Ajuste / VT;OI;Cod. Prod;Cod. Pto;Mes Entrega (numeros);Mes Entrega (letras);"Abreviado
Prod";"Abreviado
Pto";moneda;unidad;"mercado
referencia"
2019;02/01/2019;GGAL/MAR19;Futuro;Futuro;0;115.1;114.75;119.31;118.2;15300;;15,300;118.2;65;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;03/01/2019;GGAL/MAR19;Futuro;Futuro;0;117.85;115;119.78;119.78;15400;;15,400;119.78;87;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;04/01/2019;GGAL/MAR19;Futuro;Futuro;0;122;122;125.75;124.75;33200;;33,200;124.75;102;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;07/01/2019;GGAL/MAR19;Futuro;Futuro;0;125.4;124.5;131.75;129.45;22600;;22,600;129.45;117;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;08/01/2019;GGAL/MAR19;Futuro;Futuro;0;128.4;124.23;129.71;128.77;29300;;29,300;128.77;129;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;09/01/2019;GGAL/MAR19;Futuro;Futuro;0;134.15;131.26;137.15;131.26;19800;;19,800;131.26;142;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;10/01/2019;GGAL/MAR19;Futuro;Futuro;0;130.5;130;133.15;133.15;31000;;31,000;133.15;212;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;11/01/2019;GGAL/MAR19;Futuro;Futuro;0;133.3;129.45;133.93;129.95;38400;;38,400;129.99;206;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;14/01/2019;GGAL/MAR19;Futuro;Futuro;0;128.55;127;130.15;127;22400;;22,400;127;203;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;15/01/2019;GGAL/MAR19;Futuro;Futuro;0;128.25;124.5;128.25;124.5;32000;;32,000;124.5;180;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;16/01/2019;GGAL/MAR19;Futuro;Futuro;0;127;125;128.7;127;57000;;57,000;127;232;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;17/01/2019;GGAL/MAR19;Futuro;Futuro;0;125.5;125;127.07;125.31;17600;;17,600;125.31;273;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;18/01/2019;GGAL/MAR19;Futuro;Futuro;0;128.75;128.46;134.81;133.2;37100;;37,100;133.4;246;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;21/01/2019;GGAL/MAR19;Futuro;Futuro;0;133;133;133.43;133.32;2000;;2,000;132.49;251;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;22/01/2019;GGAL/MAR19;Futuro;Futuro;0;132;128;132.1;128.55;23800;;23,800;128.55;260;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;23/01/2019;GGAL/MAR19;Futuro;Futuro;0;131.6;131.4;135;134.7;35100;;35,100;134.7;299;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;24/01/2019;GGAL/MAR19;Futuro;Futuro;0;136;132.3;139.03;133.6;23800;;23,800;133.6;309;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;25/01/2019;GGAL/MAR19;Futuro;Futuro;0;135.21;134.35;137.09;134.48;24800;;24,800;134.48;311;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;28/01/2019;GGAL/MAR19;Futuro;Futuro;0;130.01;130.01;140.25;140.25;20500;;20,500;140.25;282;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;29/01/2019;GGAL/MAR19;Futuro;Futuro;0;138.65;135.44;139.15;139;19100;;19,100;139;301;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;30/01/2019;GGAL/MAR19;Futuro;Futuro;0;139.23;137.4;140.3;140.13;9400;;9,400;140.13;301;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;31/01/2019;GGAL/MAR19;Futuro;Futuro;0;142.8;141.85;143.5;142.85;12400;;12,400;142.85;301;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;01/02/2019;GGAL/MAR19;Futuro;Futuro;0;143.5;142.02;144.35;142.15;9200;;9,200;142.15;301;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;04/02/2019;GGAL/MAR19;Futuro;Futuro;0;140.8;140.8;146;145.45;18500;;18,500;145.45;321;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;05/02/2019;GGAL/MAR19;Futuro;Futuro;0;145.8;145.21;147.9;146.24;14700;;14,700;146.24;325;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;06/02/2019;GGAL/MAR19;Futuro;Futuro;0;146.35;142.3;147.2;142.5;19700;;19,700;142.5;325;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;07/02/2019;GGAL/MAR19;Futuro;Futuro;0;141.5;137.65;141.5;138.45;27000;;27,000;138.45;342;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;08/02/2019;GGAL/MAR19;Futuro;Futuro;0;139.9;138.5;143.55;143.55;19600;;19,600;143.55;334;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;11/02/2019;GGAL/MAR19;Futuro;Futuro;0;143.49;141.24;145.6;145.6;14500;;14,500;145.6;363;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;12/02/2019;GGAL/MAR19;Futuro;Futuro;0;147.15;146.25;148.28;147.15;25000;;25,000;147.15;223;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;13/02/2019;GGAL/MAR19;Futuro;Futuro;0;146.25;141.5;146.25;141.5;17500;;17,500;141.5;196;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;14/02/2019;GGAL/MAR19;Futuro;Futuro;0;140.1;139.85;143;140.6;18300;;18,300;142;199;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;15/02/2019;GGAL/MAR19;Futuro;Futuro;0;142.4;140;142.46;140.7;8200;;8,200;140.7;207;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;18/02/2019;GGAL/MAR19;Futuro;Futuro;0;139.6;139.3;139.85;139.85;1600;;1,600;139.85;206;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;19/02/2019;GGAL/MAR19;Futuro;Futuro;0;138.35;134;138.35;134;22600;;22,600;134;219;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;20/02/2019;GGAL/MAR19;Futuro;Futuro;0;140;134.15;140;134.37;16400;;16,400;137.37;190;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;21/02/2019;GGAL/MAR19;Futuro;Futuro;0;135.3;131.75;135.96;133;8800;;8,800;133;171;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;22/02/2019;GGAL/MAR19;Futuro;Futuro;0;135.52;134.48;136.4;135.95;10100;;10,100;135.95;185;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;25/02/2019;GGAL/MAR19;Futuro;Futuro;0;138.8;134.69;138.95;135.44;13300;;13,300;135.44;173;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
2019;26/02/2019;GGAL/MAR19;Futuro;Futuro;0;134.65;131.83;135.5;135.5;15300;;15,300;135.5;169;91;90;201903;mar-19;GGAL;s/e;Pesos;ACC;FI
