FECHA;PRODUCTO;TIPO CONTRATO;TIPO OPCION;EJERCICIO;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;CONTRATOS;AJUSTE / PRIMA REF.;T. IMPLICITA;VAR %;IA;VAR. IA;TRADES
02-01-2020;GFG;GGAL022020;;;129,500000;129,000000;129,000000;131,900000;131,400000;348;131,400000;;1,467181;217,000000;147,000000;92
03-01-2020;GFG;GGAL022020;;;131,400000;129,800000;126,250000;130,000000;128,890000;331;128,890000;;-1,910198;263,000000;46,000000;123
06-01-2020;GFG;GGAL022020;;;128,890000;128,890000;127,500000;134,000000;132,500000;663;132,500000;;2,800838;407,000000;144,000000;208
06-01-2020;GFG;GGAL042020;;;0,000000;145,000000;145,000000;145,000000;145,000000;20;145,000000;;0,000000;20,000000;20,000000;1
07-01-2020;GFG;GGAL022020;;;132,500000;135,000000;131,900000;135,100000;134,300000;1097;134,300000;;1,358491;800,000000;393,000000;338
08-01-2020;GFG;GGAL022020;;;134,300000;135,400000;133,050000;137,500000;136,300000;626;136,300000;;1,489203;1002,000000;202,000000;204
09-01-2020;GFG;GGAL022020;;;136,300000;136,300000;134,140000;140,000000;139,490000;1287;139,490000;;2,340426;922,000000;-80,000000;369
10-01-2020;GFG;GGAL022020;;;139,490000;141,500000;137,850000;141,500000;140,250000;925;140,250000;;0,544842;904,000000;-18,000000;232
13-01-2020;GFG;GGAL022020;;;140,250000;138,000000;134,800000;139,800000;135,600000;626;135,600000;;-3,315508;965,000000;61,000000;214
14-01-2020;GFG;GGAL022020;;;135,600000;135,000000;129,500000;135,800000;133,500000;871;133,500000;;-1,548673;964,000000;-1,000000;278
15-01-2020;GFG;GGAL022020;;;133,500000;133,000000;129,400000;135,500000;130,800000;764;130,800000;;-2,022472;1048,000000;84,000000;207
16-01-2020;GFG;GGAL022020;;;130,800000;131,000000;130,700000;132,950000;131,500000;690;131,600000;;0,611621;1143,000000;95,000000;200
17-01-2020;GFG;GGAL022020;;;131,600000;132,400000;131,350000;133,550000;132,150000;664;132,150000;;0,417933;1100,000000;-43,000000;188
17-01-2020;GFG;GGAL042020;;;144,100000;144,500000;144,500000;144,500000;144,500000;15;144,500000;;0,277585;37,000000;15,000000;1
20-01-2020;GFG;GGAL022020;;;132,150000;131,500000;131,450000;133,200000;133,090000;272;133,000000;;0,643208;1114,000000;14,000000;93
21-01-2020;GFG;GGAL022020;;;133,000000;132,040000;128,610000;133,050000;129,000000;1019;129,050000;;-2,969925;1202,000000;88,000000;245
22-01-2020;GFG;GGAL022020;;;129,050000;127,000000;125,400000;130,000000;129,750000;895;129,750000;;0,542425;1138,000000;-64,000000;216
23-01-2020;GFG;GGAL022020;;;129,750000;129,250000;126,210000;129,250000;126,210000;633;126,210000;;-2,728324;1286,000000;148,000000;174
24-01-2020;GFG;GGAL022020;;;126,210000;126,210000;120,360000;126,550000;121,000000;744;121,000000;;-4,128041;1356,000000;70,000000;181
27-01-2020;GFG;GGAL022020;;;121,000000;116,800000;114,770000;119,850000;118,900000;935;118,700000;;-1,900826;1299,000000;-57,000000;273
28-01-2020;GFG;GGAL022020;;;118,700000;120,000000;119,550000;124,850000;123,900000;1326;123,900000;;4,380792;1357,000000;58,000000;403
29-01-2020;GFG;GGAL022020;;;123,900000;125,000000;123,000000;127,540000;124,000000;846;124,000000;;0,080710;1331,000000;-26,000000;311
30-01-2020;GFG;GGAL022020;;;124,000000;123,000000;121,570000;126,000000;125,850000;1122;126,000000;;1,612903;1316,000000;-15,000000;359
31-01-2020;GFG;GGAL022020;;;126,000000;126,000000;121,330000;127,000000;122,950000;880;122,950000;;-2,420635;1256,000000;-60,000000;282
31-01-2020;GFG;GGAL042020;;;138,350000;130,000000;130,000000;130,000000;130,000000;20;130,000000;;-6,035417;57,000000;20,000000;1
03-02-2020;GFG;GGAL022020;;;122,950000;126,000000;125,000000;128,890000;128,000000;684;128,000000;;4,107361;1254,000000;-2,000000;195
04-02-2020;GFG;GGAL022020;;;128,000000;132,000000;123,000000;133,490000;127,600000;2080;127,600000;;-0,312500;1583,000000;329,000000;622
05-02-2020;GFG;GGAL022020;;;127,600000;130,000000;126,500000;130,000000;126,750000;750;126,750000;;-0,666144;1729,000000;146,000000;219
06-02-2020;GFG;GGAL022020;;;126,750000;127,000000;125,670000;128,900000;126,600000;778;126,600000;;-0,118343;1848,000000;119,000000;210
07-02-2020;GFG;GGAL022020;;;126,600000;128,000000;126,400000;128,490000;127,500000;1076;127,500000;;0,710900;1956,000000;108,000000;236
10-02-2020;GFG;GGAL022020;;;127,500000;127,000000;126,250000;128,000000;127,700000;329;127,600000;;0,078431;1940,000000;-16,000000;66
11-02-2020;GFG;GGAL022020;;;127,600000;125,000000;122,500000;125,600000;123,150000;929;123,150000;;-3,487461;1544,000000;-396,000000;172
11-02-2020;GFG;GGAL042020;;;134,650000;130,000000;130,000000;130,000000;130,000000;15;130,000000;;-3,453398;72,000000;15,000000;4
